avg_waiting_time_for_battery_slots,battery_swap_success_ratio,chargers_per_station,charging_deadline_miss_ratio,charging_solver,deadline_miss_ratio,effective_horizon,inventory_per_station,max_charging_power_demand_kw,max_charging_power_kw,max_station_total_power_kw,max_total_charging_demand_kw,max_waiting_vehicles_by_station_top5,peak_station_power_kw,reposition_event_no_incumbent_count,reposition_event_outcome_counts,reposition_event_retry_count,reposition_event_status_counts,reposition_solver,reposition_step_no_solution_steps,reposition_step_outcome_counts,reposition_step_runtime_sec_avg,reposition_step_runtime_sec_max,reposition_step_runtime_sec_p95,reposition_step_status_counts,sim_end_hour,sim_start_hour,steps,swap_capacity_per_station,total_charging_deadline_missed_slots,total_charging_deadline_misses,total_charging_demand,total_deadline_misses,total_idle_driving_distance,total_idle_moves,total_number_of_swaps,total_served,total_swap_arrivals,total_swap_requests,total_unmet_battery_demand,total_waiting_vehicles,waiting_vehicle_slots_by_station_top5,waiting_vehicles_p50,waiting_vehicles_p90,waiting_vehicles_p99
0.427536231884058,0.572463768115942,3,0.16835443037974684,gurobi,0.427536231884058,64,5,22530.0,18390.0,23690.0,22530.0,"{'11': 2, '12': 2, '22': 2, '28': 2, '49': 2}",110.0,0,{},0,{},heuristic,0,{},0.0,0.0,0.0,{},22,6,64,3,1972,133,15624,590,0.0,40385,790,39595,790,1380,590,590,"{'141': 41, '191': 41, '262': 41, '161': 40, '22': 21}",0.0,24.0,63.959999999999724
0.0,1.0,3,0.1691919191919192,gurobi,0.0,64,5,22530.0,18450.0,23750.0,22530.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",110.0,0,{},0,{},heuristic,0,{},0.0,0.0,0.0,{},22,6,64,6,2019,134,15662,0,0.0,40152,792,39360,792,792,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,3,0.1691919191919192,gurobi,0.0,64,5,22530.0,18450.0,23750.0,22530.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",110.0,0,{},0,{},heuristic,0,{},0.0,0.0,0.0,{},22,6,64,9,2019,134,15662,0,0.0,40152,792,39360,792,792,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.41285081240768096,0.587149187592319,5,0.0,gurobi,0.41285081240768096,64,5,22500.0,22470.0,27770.0,22500.0,"{'11': 2, '12': 2, '22': 2, '28': 2, '49': 2}",170.0,0,{},0,{},heuristic,0,{},0.0,0.0,0.0,{},22,6,64,3,0,0,14721,559,0.0,40298,795,39503,795,1354,559,559,"{'161': 40, '262': 40, '141': 38, '191': 38, '28': 20}",0.0,24.0,63.959999999999724
0.0,1.0,5,0.0,gurobi,0.0,64,5,22530.0,22530.0,27830.0,22530.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",170.0,0,{},0,{},heuristic,0,{},0.0,0.0,0.0,{},22,6,64,6,0,0,14856,0,0.0,40834,793,40041,793,793,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,5,0.0,gurobi,0.0,64,5,22530.0,22530.0,27830.0,22530.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",170.0,0,{},0,{},heuristic,0,{},0.0,0.0,0.0,{},22,6,64,9,0,0,14856,0,0.0,40834,793,40041,793,793,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.41285081240768096,0.587149187592319,8,0.0,gurobi,0.41285081240768096,64,5,22500.0,22470.0,27770.0,22500.0,"{'11': 2, '12': 2, '22': 2, '28': 2, '49': 2}",170.0,0,{},0,{},heuristic,0,{},0.0,0.0,0.0,{},22,6,64,3,0,0,14721,559,0.0,40298,795,39503,795,1354,559,559,"{'161': 40, '262': 40, '141': 38, '191': 38, '28': 20}",0.0,24.0,63.959999999999724
0.0,1.0,8,0.0,gurobi,0.0,64,5,22530.0,22530.0,27830.0,22530.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",170.0,0,{},0,{},heuristic,0,{},0.0,0.0,0.0,{},22,6,64,6,0,0,14856,0,0.0,40834,793,40041,793,793,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,8,0.0,gurobi,0.0,64,5,22530.0,22530.0,27830.0,22530.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",170.0,0,{},0,{},heuristic,0,{},0.0,0.0,0.0,{},22,6,64,9,0,0,14856,0,0.0,40834,793,40041,793,793,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.16998950682056663,0.8300104931794333,3,0.1997471554993679,gurobi,0.16998950682056663,64,10,23280.0,18390.0,23690.0,23280.0,"{'161': 5, '141': 4, '191': 4, '262': 4, '22': 3}",110.0,0,{},0,{},heuristic,0,{},0.0,0.0,0.0,{},22,6,64,3,2376,158,15742,162,0.0,39500,791,38709,791,953,162,162,"{'161': 7, '141': 5, '191': 5, '262': 5, '22': 3}",0.0,0.0,61.23999999999961
