avg_waiting_time_for_battery_slots,battery_swap_success_ratio,chargers_per_station,charging_deadline_miss_ratio,charging_solver,deadline_miss_ratio,inventory_per_station,max_charging_power_demand_kw,max_charging_power_kw,max_station_total_power_kw,max_total_charging_demand_kw,max_waiting_vehicles_by_station_top5,peak_station_power_kw,reposition_solver,steps,swap_capacity_per_station,total_charging_deadline_misses,total_charging_demand,total_deadline_misses,total_idle_driving_distance,total_idle_moves,total_number_of_swaps,total_served,total_swap_arrivals,total_swap_requests,total_unmet_battery_demand,total_waiting_vehicles,waiting_vehicle_slots_by_station_top5,waiting_vehicles_p50,waiting_vehicles_p90,waiting_vehicles_p99
0.0,1.0,3,0.19975031210986266,fcfs,0.0,5,23370.0,18570.0,23870.0,23370.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",110.0,ideal,96,3,160,14942,0,0.0,53700,801,52899,801,801,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,3,0.19975031210986266,fcfs,0.0,5,23370.0,18570.0,23870.0,23370.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",110.0,ideal,96,6,160,14942,0,0.0,53700,801,52899,801,801,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,3,0.19975031210986266,fcfs,0.0,5,23370.0,18570.0,23870.0,23370.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",110.0,ideal,96,9,160,14942,0,0.0,53700,801,52899,801,801,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,5,0.031210986267166042,fcfs,0.0,5,23370.0,22620.0,27920.0,23370.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",170.0,ideal,96,3,25,14593,0,0.0,53700,801,52899,801,801,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,5,0.031210986267166042,fcfs,0.0,5,23370.0,22620.0,27920.0,23370.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",170.0,ideal,96,6,25,14593,0,0.0,53700,801,52899,801,801,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,5,0.031210986267166042,fcfs,0.0,5,23370.0,22620.0,27920.0,23370.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",170.0,ideal,96,9,25,14593,0,0.0,53700,801,52899,801,801,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,8,0.0,fcfs,0.0,5,23370.0,23370.0,28670.0,23370.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",260.0,ideal,96,3,0,14519,0,0.0,53700,801,52899,801,801,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,8,0.0,fcfs,0.0,5,23370.0,23370.0,28670.0,23370.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",260.0,ideal,96,6,0,14519,0,0.0,53700,801,52899,801,801,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,8,0.0,fcfs,0.0,5,23370.0,23370.0,28670.0,23370.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",260.0,ideal,96,9,0,14519,0,0.0,53700,801,52899,801,801,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,3,0.19975031210986266,fcfs,0.0,10,23370.0,18570.0,23870.0,23370.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",110.0,ideal,96,3,160,14942,0,0.0,53700,801,52899,801,801,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
