t,trace_t_start,reposition_status,reposition_sol_count,reposition_runtime_sec,reposition_build_time_sec,reposition_candidate_prep_time_sec,reposition_vars_build_time_sec,reposition_expressions_build_time_sec,reposition_constraints_build_time_sec,reposition_objective_build_time_sec,reposition_optimize_time_sec,reposition_wall_time_sec,reposition_outcome,reposition_note,reposition_num_vars,reposition_num_constrs,reposition_num_nz,reposition_iter_count,reposition_bar_iter_count,reposition_obj_val,reposition_obj_bound,reposition_solver_method,reposition_solver_crossover,reposition_numeric_focus,reposition_presolve,reposition_lp_warm_start_enabled,reposition_lp_warm_start_mode,reposition_lp_warm_start_applied,reposition_lp_warm_start_var_count,reposition_lp_warm_start_nonzero_count,reposition_lp_warm_start_note,reposition_use_preaggregation,reposition_use_aux_elimination,x_var_count,y_var_count,v_var_count,o_var_count,r_var_count,b_var_count,mu_var_count,served_var_count,full_stock_var_count,vacant_split_constr_count,b_def_constr_count,mu_le_b_constr_count,swap_cap_constr_count,full_dyn_constr_count,served_by_supply_constr_count,o_dyn_constr_count,v_dyn_constr_count,error,swap_requests,successful_swaps,charging_deadline_misses,waiting_vehicles
0,0,2,1,22.16398596763611,11.484187833033502,0.40871662501012906,3.2464342919993214,4.700798625010066,2.871430665953085,0.2433034999994561,22.1640385419596,34.057830500009004,optimized,,680265,218360,7941532,0.0,52,1873.0617704386393,1873.0617789602886,2,0,0,-1,1,2,1,680265,1325,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,1464,971,0,493
1,1,2,1,14.408770084381104,11.631174792011734,0.38188366702524945,3.028476834006142,4.394488041987643,3.5562222080188803,0.24009291600668803,14.408870332990773,26.426730125036556,optimized,,680265,218360,7511132,0.0,54,1771.3714908576048,1771.3715005723202,2,0,0,-1,1,2,1,680265,775,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,506,6,0,500
2,2,2,1,16.507194995880127,10.79036654200172,0.3834223329904489,2.805588708957657,4.538047958048992,2.747620749985799,0.2401176249841228,16.50727983302204,27.685861208010465,optimized,,680265,218360,7177452,0.0,67,1904.992781938865,1904.9927822832585,2,0,0,-1,1,2,1,680265,780,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,544,19,0,525
3,3,2,1,12.263426065444946,10.8336956659914,0.38227754196850583,3.0499635830055922,4.336034790962003,2.792965541011654,0.24029354198137298,12.263541416963562,23.48397537501296,optimized,,680265,218360,7532812,0.0,41,1913.7443519501558,1913.7443596042262,2,0,0,-1,1,2,1,680265,755,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,529,6,0,523
4,4,2,1,11.731183052062988,11.503110499994364,0.38084616599371657,3.1626351249869913,4.620842124975752,3.059455457958393,0.24012387497350574,11.731298332975712,23.619512792036403,optimized,,680265,218360,8295132,0.0,40,2062.6819417671227,2062.6819508595063,2,0,0,-1,1,2,1,680265,755,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,545,5,0,540
5,5,2,1,12.55600118637085,11.362390999973286,0.37991499999770895,3.2312060840195045,4.506267874967307,2.95825079199858,0.2402157500036992,12.556131749995984,24.30305208300706,optimized,,680265,218360,7799612,0.0,42,2197.7282058496567,2197.728222239615,2,0,0,-1,1,2,1,680265,750,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,549,7,0,542
6,6,2,1,12.791675090789795,11.843670334026683,0.3833656250499189,3.058279874967411,5.03744862502208,3.0812793749500997,0.24593495798762888,12.791786000016145,25.023342000029515,optimized,,680265,218360,8253772,0.0,47,2384.5543270728017,2384.5543290941087,2,0,0,-1,1,2,1,680265,745,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,544,4,0,540
7,7,2,1,9.885828018188477,12.566531792050228,0.3773527499870397,3.056191832991317,4.975915917020757,3.8654995000106283,0.2446733340038918,9.885955041041598,22.834236291993875,optimized,,680265,218360,7844492,0.0,38,2496.656901764462,2496.6569145739654,2,0,0,-1,1,2,1,680265,750,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,552,13,0,539
8,8,2,1,9.047065019607544,13.159435332985595,0.3800514170434326,2.9607735000317916,5.367037999967579,4.159719165996648,0.24468049994902685,9.047199917025864,22.591062457999215,optimized,,680265,218360,8617292,0.0,35,2672.693513690489,2672.693540377273,2,0,0,-1,1,2,1,680265,755,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,544,10,0,534
9,9,2,1,11.430073022842407,12.444914749998134,0.4608176660258323,2.8499717080267146,5.47270079201553,3.4419135409989394,0.2453677500016056,11.430194167012814,24.34052370901918,optimized,,680265,218360,8971532,0.0,38,2822.6891800408275,2822.689184088478,2,0,0,-1,1,2,1,680265,755,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,534,8,0,526
10,10,2,1,11.380934953689575,12.074311042029876,0.3960180419962853,3.0297602909849957,5.0174203750211746,3.3521811660029925,0.24805562500841916,11.381055792036932,23.855675208033063,optimized,,680265,218360,9247372,0.0,42,2895.087518190723,2895.087538457973,2,0,0,-1,1,2,1,680265,780,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,530,16,0,514
11,11,2,1,15.758885860443115,13.03413816698594,0.4051147500285879,3.2530792910256423,4.945516166975722,4.156493749993388,0.24960470898076892,15.759006624983158,29.20336112502264,optimized,,680265,218360,8717372,0.0,55,3035.2645893207905,3035.2645904294686,2,0,0,-1,1,2,1,680265,785,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,525,21,0,504
12,12,2,1,11.572535037994385,12.146077333949506,0.3791035000467673,3.1228086249902844,5.039230249996763,3.3115906250313856,0.24949454102898017,11.57272954104701,24.102526083006524,optimized,,680265,218360,8535532,0.0,40,3198.1730697580615,3198.1730803090404,2,0,0,-1,1,2,1,680265,850,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,510,33,0,477
13,13,2,1,11.679705142974854,12.984191499999724,0.3791958329966292,3.0925492499955,5.710727541998494,3.50709495897172,0.24799545796122402,11.67982820799807,25.047621959005482,optimized,,680265,218360,8406652,0.0,40,3379.948475235143,3379.948479727561,2,0,0,-1,1,2,1,680265,850,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,477,26,0,451
14,14,2,1,11.19809103012085,12.43043658399256,0.37940420798258856,3.1205176250077784,5.090644707961474,3.537309833976906,0.2509866660111584,11.198261916986667,24.013789874967188,optimized,,680265,218360,8517612,0.0,38,3482.9746786118876,3482.9746873824456,2,0,0,-1,1,2,1,680265,885,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,453,37,0,416
15,15,2,1,10.3802011013031,12.96389279095456,0.4489435420255177,3.213511958019808,5.466034916986246,3.5999298749957234,0.2506607909454033,10.380338124989066,23.798381666943897,optimized,,680265,218360,8785612,0.0,39,3484.646508793085,3484.6465125103146,2,0,0,-1,1,2,1,680265,945,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,420,58,0,362
