time_slot,charging_demand,number_of_swaps,unmet_battery_demand,served,idle_moves,swap_arrivals,swap_requests,swap_success_ratio,deadline_misses,deadline_miss_ratio,charging_deadline_misses,charging_deadline_miss_ratio,charging_power_kw,total_charging_demand_kw,station_total_power_kw,peak_station_power_kw,waiting_time_for_battery_slots,waiting_vehicles,idle_driving_distance,vacant,occupied,full_batteries,t
0,616,616,157,1095,2678,773,773,0.796895213454075,157,0.20310478654592498,0,0.0,18480.0,18480.0,23780.0,110.0,157.0,157,142.0,3136,463,709,0
1,749,133,25,932,1831,1,158,0.8417721518987342,25,0.15822784810126583,0,0.0,18480.0,22470.0,23780.0,110.0,25.0,25,82.0,3080,651,576,1
2,749,0,25,873,1724,0,25,0.0,25,1.0,0,0.0,18480.0,22470.0,23780.0,110.0,25.0,25,63.0,3035,696,576,2
3,749,0,25,883,1550,0,25,0.0,25,1.0,0,0.0,18480.0,22470.0,23780.0,110.0,25.0,25,120.0,3004,727,576,3
4,749,0,25,916,1542,0,25,0.0,25,1.0,0,0.0,18480.0,22470.0,23780.0,110.0,25.0,25,118.0,3042,689,576,4
5,750,1,25,997,1622,1,26,0.038461538461538464,25,0.9615384615384616,0,0.0,18480.0,22500.0,23780.0,110.0,25.0,25,141.0,3015,716,575,5
6,752,2,25,995,1610,2,27,0.07407407407407407,25,0.9259259259259259,0,0.0,18540.0,22560.0,23840.0,110.0,25.0,25,122.0,3023,708,573,6
7,753,1,25,1002,1518,1,26,0.038461538461538464,25,0.9615384615384616,0,0.0,18570.0,22590.0,23870.0,110.0,25.0,25,148.0,3072,659,572,7
8,756,3,25,1089,1669,3,28,0.10714285714285714,25,0.8928571428571429,0,0.0,18630.0,22680.0,23930.0,110.0,25.0,25,227.0,3060,671,569,8
9,756,0,26,1036,1663,1,26,0.0,26,1.0,0,0.0,18630.0,22680.0,23930.0,110.0,26.0,26,190.0,3108,622,569,9
10,757,1,26,995,1742,1,27,0.037037037037037035,26,0.9629629629629629,0,0.0,18630.0,22710.0,23930.0,110.0,26.0,26,227.0,3137,593,568,10
11,758,1,26,1000,1693,1,27,0.037037037037037035,26,0.9629629629629629,0,0.0,18660.0,22740.0,23960.0,110.0,26.0,26,281.0,3190,540,567,11
12,758,0,26,977,1741,0,26,0.0,26,1.0,0,0.0,18660.0,22740.0,23960.0,110.0,26.0,26,186.0,3258,472,567,12
13,758,0,26,969,1849,0,26,0.0,26,1.0,0,0.0,18660.0,22740.0,23960.0,110.0,26.0,26,216.0,3224,506,567,13
14,761,3,26,869,1769,3,29,0.10344827586206896,26,0.896551724137931,0,0.0,18720.0,22830.0,24020.0,110.0,26.0,26,201.0,3263,467,564,14
15,761,0,26,845,1768,0,26,0.0,26,1.0,0,0.0,18720.0,22830.0,24020.0,110.0,26.0,26,197.0,3313,417,587,15
16,738,0,27,909,2028,1,27,0.0,27,1.0,0,0.0,18030.0,22140.0,23330.0,110.0,27.0,27,204.0,3321,408,708,16
17,618,1,26,826,1897,0,27,0.037037037037037035,26,0.9629629629629629,0,0.0,15030.0,18540.0,20330.0,110.0,26.0,26,221.0,3394,336,865,17
18,463,3,24,842,2034,1,27,0.1111111111111111,24,0.8888888888888888,0,0.0,11730.0,13890.0,17030.0,110.0,24.0,24,233.0,3351,381,1036,18
19,308,19,6,695,1724,1,25,0.76,6,0.24,0,0.0,8280.0,9240.0,13580.0,110.0,6.0,6,161.0,3437,313,1157,19
20,175,7,0,616,1902,1,7,1.0,0,0.0,133,19.0,4950.0,5250.0,10250.0,110.0,0.0,0,171.0,3447,309,1150,20
21,42,0,0,544,1789,0,0,0.0,0,0.0,0,0.0,1260.0,1260.0,6560.0,110.0,0.0,0,126.0,3458,298,1152,21
22,41,1,0,503,1674,1,1,1.0,0,0.0,0,0.0,1230.0,1230.0,6530.0,110.0,0.0,0,80.0,3460,296,1152,22
23,40,0,0,427,1729,0,0,0.0,0,0.0,0,0.0,1200.0,1200.0,6500.0,110.0,0.0,0,44.0,3510,246,1154,23
24,38,0,0,430,1732,0,0,0.0,0,0.0,1,0.0,1140.0,1140.0,6440.0,110.0,0.0,0,30.0,3529,227,1154,24
25,39,2,0,445,2029,2,2,1.0,0,0.0,0,0.0,1170.0,1170.0,6470.0,110.0,0.0,0,17.0,3459,297,1152,25
26,40,1,0,533,2001,1,1,1.0,0,0.0,0,0.0,1200.0,1200.0,6500.0,110.0,0.0,0,35.0,3452,304,1152,26
27,40,1,0,462,2081,1,1,1.0,0,0.0,1,1.0,1200.0,1200.0,6500.0,110.0,0.0,0,9.0,3476,280,1151,27
28,40,1,0,491,1839,1,1,1.0,0,0.0,0,0.0,1200.0,1200.0,6500.0,110.0,0.0,0,16.0,3490,266,1150,28
29,42,2,0,542,1910,2,2,1.0,0,0.0,1,0.5,1260.0,1260.0,6560.0,110.0,0.0,0,18.0,3416,340,1150,29
30,40,1,0,634,2029,1,1,1.0,0,0.0,0,0.0,1200.0,1200.0,6500.0,110.0,0.0,0,20.0,3387,369,1149,30
31,40,0,0,674,1971,0,0,0.0,0,0.0,0,0.0,1200.0,1200.0,6500.0,110.0,0.0,0,25.0,3394,362,1149,31
32,40,0,0,758,1878,0,0,0.0,0,0.0,0,0.0,1200.0,1200.0,6500.0,110.0,0.0,0,67.0,3354,402,1150,32
