sim_date,group_id,metric,algorithm_value,heuristic_value,ideal_value,delta_alg_minus_heuristic,delta_alg_minus_ideal
2025-11-01,G1,avg_waiting_time_for_battery_slots,0.881399870382372,0.0,0.0,0.881399870382372,0.881399870382372
2025-11-01,G1,battery_swap_success_ratio,0.118600129617628,1.0,1.0,-0.881399870382372,-0.881399870382372
2025-11-01,G1,chargers_per_station,3.0,3.0,3.0,0.0,0.0
2025-11-01,G1,charging_deadline_miss_ratio,0.0692167577413479,0.1112515802781289,0.5994550408719346,-0.042034822536780994,-0.5302382831305866
2025-11-01,G1,deadline_miss_ratio,0.881399870382372,0.0,0.0,0.881399870382372,0.881399870382372
2025-11-01,G1,effective_horizon,64.0,64.0,64.0,0.0,0.0
2025-11-01,G1,inventory_per_station,4.0,4.0,4.0,0.0,0.0
2025-11-01,G1,max_charging_power_demand_kw,25590.0,21150.0,91680.0,4440.0,-66090.0
2025-11-01,G1,max_charging_power_kw,20310.0,18510.0,23640.0,1800.0,-3330.0
2025-11-01,G1,max_station_total_power_kw,25610.0,23810.0,28940.0,1800.0,-3330.0
2025-11-01,G1,max_total_charging_demand_kw,25590.0,21150.0,91680.0,4440.0,-66090.0
2025-11-01,G1,peak_station_power_kw,110.0,110.0,110.0,0.0,0.0
2025-11-01,G1,reposition_event_no_incumbent_count,0.0,0.0,0.0,0.0,0.0
2025-11-01,G1,reposition_event_optimized_after_retry_count,0.0,0.0,0.0,0.0,0.0
2025-11-01,G1,reposition_event_retry_count,0.0,0.0,0.0,0.0,0.0
2025-11-01,G1,reposition_event_second_pass_method0_count,0.0,0.0,0.0,0.0,0.0
2025-11-01,G1,reposition_idle_cost_weight,0.05,0.05,0.05,0.0,0.0
2025-11-01,G1,reposition_low_energy_swap_bonus,0.2,0.2,0.2,0.0,0.0
2025-11-01,G1,reposition_service_discount_gamma,1.0,1.0,1.0,0.0,0.0
2025-11-01,G1,reposition_step_no_solution_steps,0.0,0.0,0.0,0.0,0.0
2025-11-01,G1,reposition_step_runtime_sec_avg,11.036531709489369,0.0,6.8871035727243575,11.036531709489369,4.149428136765011
2025-11-01,G1,reposition_step_runtime_sec_max,16.480576992034912,0.0,15.717514038085938,16.480576992034912,0.7630629539489746
2025-11-01,G1,reposition_step_runtime_sec_p95,14.672792148590087,0.0,9.971577739715576,14.672792148590087,4.701214408874511
2025-11-01,G1,reposition_top_swap_targets,3.0,3.0,3.0,0.0,0.0
2025-11-01,G1,sim_end_hour,22.0,22.0,22.0,0.0,0.0
2025-11-01,G1,sim_start_hour,6.0,6.0,6.0,0.0,0.0
2025-11-01,G1,steps,64.0,64.0,64.0,0.0,0.0
2025-11-01,G1,swap_capacity_per_station,4.0,4.0,4.0,0.0,0.0
2025-11-01,G1,total_charging_deadline_missed_slots,1344.0,1386.0,15971.0,-42.0,-14627.0
2025-11-01,G1,total_charging_deadline_misses,114.0,88.0,2200.0,26.0,-2086.0
2025-11-01,G1,total_charging_demand,25958.0,14607.0,63876.0,11351.0,-37918.0
2025-11-01,G1,total_deadline_misses,12240.0,0.0,0.0,12240.0,12240.0
2025-11-01,G1,total_idle_driving_distance,39489.0,0.0,24871.0,39489.0,14618.0
2025-11-01,G1,total_idle_moves,162385.0,40064.0,205510.0,122321.0,-43125.0
2025-11-01,G1,total_number_of_swaps,1647.0,791.0,3670.0,856.0,-2023.0
2025-11-01,G1,total_served,81499.0,39273.0,65716.0,42226.0,15783.0
2025-11-01,G1,total_swap_arrivals,1696.0,791.0,3670.0,905.0,-1974.0
2025-11-01,G1,total_swap_requests,13887.0,791.0,3670.0,13096.0,10217.0
2025-11-01,G1,total_unmet_battery_demand,12240.0,0.0,0.0,12240.0,12240.0
2025-11-01,G1,total_waiting_vehicles,12240.0,0.0,0.0,12240.0,12240.0
2025-11-01,G1,waiting_vehicles_p50,177.0,0.0,0.0,177.0,177.0
2025-11-01,G1,waiting_vehicles_p90,358.7,0.0,0.0,358.7,358.7
2025-11-01,G1,waiting_vehicles_p99,363.37,0.0,0.0,363.37,363.37
2025-11-01,G2,avg_waiting_time_for_battery_slots,0.8791706792046677,0.1636747624076029,0.0,0.7154959167970648,0.8791706792046677
2025-11-01,G2,battery_swap_success_ratio,0.1208293207953322,0.8363252375923971,1.0,-0.7154959167970649,-0.8791706792046678
2025-11-01,G2,chargers_per_station,3.0,3.0,3.0,0.0,0.0
2025-11-01,G2,charging_deadline_miss_ratio,0.1476793248945147,0.1919191919191919,0.5994550408719346,-0.04423986702467719,-0.45177571597741983
2025-11-01,G2,deadline_miss_ratio,0.8791706792046677,0.1636747624076029,0.0,0.7154959167970648,0.8791706792046677
2025-11-01,G2,effective_horizon,64.0,64.0,64.0,0.0,0.0
2025-11-01,G2,inventory_per_station,6.0,6.0,6.0,0.0,0.0
