metric,algorithm_mean,heuristic_mean,ideal_mean,algorithm_std,heuristic_std,ideal_std,delta_alg_minus_heuristic_mean,delta_alg_minus_ideal_mean,alg_gt_heuristic_cases,alg_eq_heuristic_cases,alg_lt_heuristic_cases,alg_gt_ideal_cases,alg_eq_ideal_cases,alg_lt_ideal_cases
avg_waiting_time_for_battery_slots,0.8468588925210006,0.10307742034400026,0.0,0.02879814083766791,0.07942965092634637,0.0,0.7437814721770002,0.8468588925210006,9,0,0,9,0,0
battery_swap_success_ratio,0.15314110747899948,0.8969225796559996,1.0,0.0287981408376679,0.07942965092634638,0.0,-0.7437814721770003,-0.8468588925210006,0,0,9,0,0,9
chargers_per_station,3.6666666666666665,3.6666666666666665,3.6666666666666665,1.0,1.0,1.0,0.0,0.0,0,9,0,0,9,0
charging_deadline_miss_ratio,0.07154395787449214,0.10893015305494796,0.44039222419443075,0.05567448812541126,0.07232957844073092,0.11480129626839293,-0.037386195180455835,-0.36884826631993867,0,0,9,0,0,9
deadline_miss_ratio,0.8468588925210006,0.10307742034400026,0.0,0.02879814083766791,0.07942965092634637,0.0,0.7437814721770002,0.8468588925210006,9,0,0,9,0,0
effective_horizon,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,9,0
inventory_per_station,5.333333333333333,5.333333333333333,5.333333333333333,1.0,1.0,1.0,0.0,0.0,0,9,0,0,9,0
max_charging_power_demand_kw,31496.666666666668,22103.333333333332,74206.66666666667,5291.523882588077,1378.6769019607168,12714.923318683444,9393.333333333334,-42710.0,9,0,0,0,0,9
max_charging_power_kw,23230.0,19536.666666666668,26186.666666666668,3811.2989911577392,2096.503040780051,6135.319877561397,3693.3333333333335,-2956.6666666666665,9,0,0,1,0,8
max_station_total_power_kw,28530.0,24836.666666666668,31486.666666666668,3811.2989911577392,2096.503040780051,6135.319877561397,3693.3333333333335,-2956.6666666666665,9,0,0,1,0,8
max_total_charging_demand_kw,31496.666666666668,22103.333333333332,74206.66666666667,5291.523882588077,1378.6769019607168,12714.923318683444,9393.333333333334,-42710.0,9,0,0,0,0,9
peak_station_power_kw,130.0,130.0,130.0,30.0,30.0,30.0,0.0,0.0,0,9,0,0,9,0
reposition_event_no_incumbent_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,9,0
reposition_event_optimized_after_retry_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,9,0
reposition_event_retry_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,9,0
reposition_event_second_pass_method0_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,9,0
reposition_idle_cost_weight,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,9,0,0,9,0
reposition_low_energy_swap_bonus,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0,9,0,0,9,0
reposition_service_discount_gamma,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,9,0
reposition_step_no_solution_steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,9,0
reposition_step_runtime_sec_avg,10.196303388639311,0.0,7.738771334737276,0.5233511711385128,0.0,0.6617397376573559,10.196303388639311,2.4575320539020353,9,0,0,9,0,0
reposition_step_runtime_sec_max,16.803894890679253,0.0,14.595774624082777,2.8809673468594434,0.0,1.8597039311372503,16.803894890679253,2.2081202665964765,9,0,0,7,0,2
