baseline,sim_date,group_id,delta_total_served
heuristic_plus_fcfs,2025-11-01,G1,42226
heuristic_plus_fcfs,2025-11-01,G2,40721
heuristic_plus_fcfs,2025-11-01,G3,41344
heuristic_plus_fcfs,2025-11-05,G1,46170
heuristic_plus_fcfs,2025-11-05,G2,44947
heuristic_plus_fcfs,2025-11-05,G3,45060
heuristic_plus_fcfs,2025-11-09,G1,38130
heuristic_plus_fcfs,2025-11-09,G2,36366
heuristic_plus_fcfs,2025-11-09,G3,37000
ideal_plus_fcfs,2025-11-01,G1,15783
ideal_plus_fcfs,2025-11-01,G2,14237
ideal_plus_fcfs,2025-11-01,G3,14571
ideal_plus_fcfs,2025-11-05,G1,7728
ideal_plus_fcfs,2025-11-05,G2,7437
ideal_plus_fcfs,2025-11-05,G3,7192
ideal_plus_fcfs,2025-11-09,G1,7731
ideal_plus_fcfs,2025-11-09,G2,6476
ideal_plus_fcfs,2025-11-09,G3,6804
